asgweek_id	week	week1_sent	week2_sent	assignment_identifier	fullpair	admin_unit1	email	num_emails	response	timely_1	timely_2	accuracy	friendly	look_up	link	live_here	reg_here	coded_	first_tt	second_tt	first_name_latino	second_name_latino	first_name	second_name	first_website	second_website	first_subject	second_subject	email_address1	email_address2	from_address_week1	from_address_week2	subject_line_week1	subject_line_week2	strict_enforced	strict_enacted	photo_enforced	photo_enacted	strict_nonphoto	nonphoto	preclear_states	litigation	municipal_only	county_plus	per_black	per_notlat	populationdensitypersqmile	income_est	normal_vote	author_coded	wordcount	gradelevel	totalpopulation	totalpop_latino	elected	southern_state	westcoast_state	mtwest_state	plains_state	midwest_state	midatl_state	ne_state	statereg1	statereg2	idlaw_overall	photolaw	nonphotolaw	noidlaw	idlaw	elected_update	partisan_update	party_update	partydata	code	code.fac	dummy1	dummy2	dummy3	dummy4	dummy5	dummy6	dummy7	dummy8	dummy9	dummy10	dummy11	dummy12	dummy13	dummy14	dummy15	dummy16	dummy17	dummy18	dummy19	dummy20	dummy21	dummy22	dummy23	dummy24	dummy25	dummy26	dummy27	dummy28	dummy29	dummy30	dummy31	dummy32	dummy33	dummy34	dummy35	dummy36	dummy37	dummy38	dummy39	dummy40	dummy41	dummy42	dummy43	dummy44	dummy45	dummy46	dummy47	dummy48
11	1	1	1	10006	3	"REDACTED"	"REDACTED"	1	1	0	1	"General, but accurate"	1	0	0	0	0		1	0	0	1	4	1	1	0	0	1	2	1	"muellerj@ajnmail.net"	"jmartinez@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0						1	162		22913	649	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	2	1	1	10006	3	"REDACTED"	"REDACTED"	1	1	1	1	"Absolutely accurate"							1	0	0	1	4	1	1	0	0	1	2	1	"muellerj@ajnmail.net"	"jmartinez@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0							83		22913	649	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	1	1	1	10007	4	"REDACTED"	"REDACTED"	1	1	1	1	"Non-informative response"	0	0	0	0	1	0	1	0	0	1	4	1	0	1	1	0	3	4	"jakemueller@fnweb.net"	"martinezjose@ajnmail.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							109		13859	73	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	2	1	1	10007	4	"REDACTED"	"REDACTED"	1	1	1	1	"Absolutely accurate"							1	0	0	1	4	1	0	1	1	0	3	4	"jakemueller@fnweb.net"	"martinezjose@ajnmail.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							79		13859	73	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	1	1	1	10008	4	"REDACTED"	"REDACTED"	1	1	1	1	"Absolutely accurate"	1	1	1	0	0	0	1	0	1	0	2	3	0	1	1	0	3	1	"luisrodriguez@fnweb.net"	"gwalsh@ajnmail.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							203		52947	1946	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	2	1	1	10008	4	"REDACTED"	"REDACTED"	1	1	1	1	"Absolutely accurate"							1	0	1	0	2	3	0	1	1	0	3	1	"luisrodriguez@fnweb.net"	"gwalsh@ajnmail.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							152		52947	1946	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	1	1	1	10009	5	"REDACTED"	"REDACTED"	1	1	1	1	"Absolutely accurate"							0	1	1	0	1	4	0	1	1	0	1	3	"jmartinez@fnweb.net"	"jakemueller@ajnmail.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							113		13228	161	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	2	1	1	10009	5	"REDACTED"	"REDACTED"	0	0	0	0	""							0	1	1	0	1	4	0	1	1	0	1	3	"jmartinez@fnweb.net"	"jakemueller@ajnmail.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							113		13228	161	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	1	1	1	10010	5	"REDACTED"	"REDACTED"	1	1	1	1	"Absolutely accurate"							0	1	0	1	4	1	0	1	1	0	3	1	"jakemueller@fnweb.net"	"jmartinez@ajnmail.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							92		21027	352	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	2	1	1	10010	5	"REDACTED"	"REDACTED"	0	0	0	0	""							0	1	0	1	4	1	0	1	1	0	3	1	"jakemueller@fnweb.net"	"jmartinez@ajnmail.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							92		21027	352	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	2	1	1	10011	6	"REDACTED"	"REDACTED"	0	0	0	0	""							1	0	1	0	1	4	1	0	0	1	3	2	"josemartinez@ajnmail.net"	"muellerj@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0									27457	1387	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	1	1	1	10011	6	"REDACTED"	"REDACTED"	0	0	0	0	""							1	0	1	0	1	4	1	0	0	1	3	2	"josemartinez@ajnmail.net"	"muellerj@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0									27457	1387	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	1	1	1	10012	6	"REDACTED"	"REDACTED"	1	1	1	1	"Non-informative response"	0	0	0	0	0	0	1	0	0	1	3	1	1	0	0	1	4	3	"walshgreg@ajnmail.net"	"josemartinez@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0							86		19746	313	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	2	1	1	10012	6	"REDACTED"	"REDACTED"	0	0	0	0	""							1	0	0	1	3	1	1	0	0	1	4	3	"walshgreg@ajnmail.net"	"josemartinez@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0							86		19746	313	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	1	1	1	10013	7	"REDACTED"	"REDACTED"	1	1	1	1	"Absolutely accurate"							0	1	0	1	4	2	1	0	1	0	3	4	"jakemueller@ajnmail.net"	"rodriguezluis@fnweb.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							74		37765	483	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	2	1	1	10013	7	"REDACTED"	"REDACTED"	0	0	0	0	""							0	1	0	1	4	2	1	0	1	0	3	4	"jakemueller@ajnmail.net"	"rodriguezluis@fnweb.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							74		37765	483	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	2	1	1	10014	7	"REDACTED"	"REDACTED"	0	0	0	0	""							0	1	1	0	2	4	1	0	1	0	1	2	"lrodriguez@ajnmail.net"	"muellerj@fnweb.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0									71109	9690	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	1	1	1	10014	7	"REDACTED"	"REDACTED"	0	0	0	0	""							0	1	1	0	2	4	1	0	1	0	1	2	"lrodriguez@ajnmail.net"	"muellerj@fnweb.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0									71109	9690	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	1	1	1	10015	8	"REDACTED"	"REDACTED"	1	1	1	1	"Absolutely accurate"							0	1	1	0	2	3	0	1	0	1	2	4	"rodriguezl@fnweb.net"	"walshgreg@ajnmail.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0							83		43643	3420	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	1	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	2	1	1	10015	8	"REDACTED"	"REDACTED"	1	1	0	1	"Ambiguous"	0	0	0	0	0		0	1	1	0	2	3	0	1	0	1	2	4	"rodriguezl@fnweb.net"	"walshgreg@ajnmail.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0						1	102		43643	3420	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	1	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	2	1	1	10016	8	"REDACTED"	"REDACTED"	2	1	0	1	"Non-informative response"	1	0	0	0	0	1	0	1	0	1	3	1	0	1	0	1	1	4	"gwalsh@fnweb.net"	"martinezjose@ajnmail.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0							237		14564	180	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	1	1	1	10016	8	"REDACTED"	"REDACTED"	0	0	0	0	""							0	1	0	1	3	1	0	1	0	1	1	4	"gwalsh@fnweb.net"	"martinezjose@ajnmail.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0							237		14564	180	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	1	1	1	10017	9	"REDACTED"	"REDACTED"	1	1	1	1	"General, but accurate"	1	0	0	0	0		1	0	1	0	1	3	1	0	0	1	2	1	"martinezj@ajnmail.net"	"gwalsh@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0						1	142		25989	320	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
